fid;alt;ru;cwb_2020;cwb_2021;cwb_2022;cwb_2023;cwb_2024;cwb_2025
229;499.03;2;-280.1414;-370.53082;-580.07953;-459.30237;-353.3611;
230;615.09003;2;-280.1414;-370.53082;-580.07953;-459.30237;-353.3611;
231;604.15002;2;-280.1414;-370.53082;-580.07953;-459.30237;-353.3611;
232;395.10999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
233;463.23999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
234;520.54999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
235;517.54999;2;-280.1414;-370.53082;-545.41903;-403.66467;-320.03621;
236;534.39001;2;-280.1414;-370.53082;-545.41903;-403.66467;-320.03621;
237;559.5;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
238;502.35999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
239;456.95001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
240;367.82001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
241;299.07001;2;-241.70829;-272.52889;-534.699;-383.63467;-309.90838;-353.60001
242;248.66;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
243;222.66;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
244;180.19;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
245;178.77;2;-287.84705;-373.24646;-534.699;-471.89927;-441.24909;-353.60001
246;165.34;2;-287.84705;-373.24646;-654.35205;-471.89927;-441.24909;-353.60001
247;167.91;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-390
248;140.44;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-390
249;178.07001;2;-349.20026;-455.96402;-654.35205;-471.89927;-441.24909;-390
250;190.67999;2;-349.20026;-455.96402;-654.35205;-471.89927;-441.24909;-390
251;145.19;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
252;158.27;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
253;161.05;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
254;152.87;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-390
255;155.36;2;-349.20026;-455.96402;-654.35205;-471.89927;-441.24909;-390
256;155.67;2;-349.20026;-455.96402;-654.35205;-471.89927;-441.24909;-390
257;209.17999;2;-277.0461;-365.59477;-616.70661;-457.7524;-402.47811;-307.79999
258;162.45;2;-277.0461;-365.59477;-616.70661;-457.7524;-402.47811;-353.60001
259;164.14999;2;-287.84705;-373.24646;-654.35205;-471.89927;-441.24909;-353.60001
260;150.46001;2;-287.84705;-373.24646;-654.35205;-471.89927;-441.24909;-353.60001
261;170.48;2;-277.0461;-365.59477;-547.35873;-457.7524;-402.47811;-307.79999
262;162.24001;2;-287.84705;-373.24646;-534.699;-471.89927;-441.24909;-353.60001
263;207.61;2;-277.0461;-365.59477;-547.35873;-457.7524;-402.47811;-353.60001
264;182.22;2;-287.84705;-373.24646;-534.699;-471.89927;-441.24909;-353.60001
265;151.28;2;-313.03933;-423.77833;-626.16617;-468.80328;-416.21988;-412.89999
266;145.55;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
267;155.52;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
268;181.52;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
269;220.83;2;-277.0461;-365.59477;-616.70661;-457.7524;-402.47811;-307.79999
270;210.27;2;-277.0461;-365.59477;-547.35873;-457.7524;-402.47811;-307.79999
271;268.17001;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
272;219.73;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
273;182.84;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-353.60001
274;219.38;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
275;181.48;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
276;264.60001;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
277;241.46001;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
278;239.28;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
279;210.55;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
280;190.84;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-353.60001
281;382.60999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
282;605.37;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
283;481.01001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
284;524.79999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
285;406.54999;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
286;470.45001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;-353.60001
287;570.06;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
288;616.39001;2;-241.70829;-272.52889;-545.41903;-403.66467;-320.03621;
289;424.14001;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-353.60001
290;519.84998;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-353.60001
291;662.26001;2;-263.43441;-349.97338;-539.61045;-401.13468;-308.55688;
292;450.41;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
293;583.88;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
294;349.14001;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
295;624.28003;2;-263.43441;-349.97338;-539.61045;-401.13468;-308.55688;
296;474.79999;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
297;487.98999;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
298;587.90997;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
299;449.57999;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
300;504.54999;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
301;574.95001;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
302;580.12;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
303;625.06;2;-263.43441;-349.97338;-539.61045;-401.13468;-308.55688;
304;605.53998;2;-263.43441;-349.97338;-565.74387;-446.69264;-330.34956;
305;556.71997;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
306;589.89001;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
307;614.09998;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;
308;660.59003;2;-263.43441;-349.97338;-539.61045;-401.13468;-308.55688;
309;480.89001;2;-244.42705;-310.84388;-539.61045;-401.13468;-308.55688;-307.79999
310;659.94;2;-263.43441;-349.97338;-565.74387;-446.69264;-330.34956;
311;216.58;2;-313.03933;-423.77833;-616.70661;-457.7524;-402.47811;-412.89999
312;237.89;2;-277.0461;-365.59477;-616.70661;-457.7524;-402.47811;-307.79999
313;259.85001;2;-277.0461;-365.59477;-547.35873;-457.7524;-402.47811;-307.79999
314;242.89999;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
315;282.79999;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
316;335.23001;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
317;326.10001;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
318;300.29001;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-307.79999
319;267.79001;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
320;277.16;2;-287.84705;-373.24646;-534.699;-383.63467;-309.90838;-353.60001
321;231.2;2;-277.0461;-365.59477;-547.35873;-399.0291;-321.63315;-353.60001
322;404.98001;2;-244.42705;-310.84388;-547.35873;-399.0291;-321.63315;-307.79999
323;326.56;2;-241.70829;-272.52889;-534.699;-383.63467;-309.90838;-353.60001
324;379.91;2;-244.42705;-310.84388;-547.35873;-399.0291;-321.63315;-307.79999
325;341.87;2;-244.42705;-310.84388;-547.35873;-399.0291;-321.63315;-353.60001
